"variable","coefficient","std_error","t_value","p_value","dataset","significance"
"defense_player_4_defensive_grades_grades_defense_12w",-0.0246255640683034,0.0147007544444386,-1.67512246812744,0.0940006734354319,"CAFD Off Grades","*"
"defense_player_17_defensive_grades_grades_defense_12w",0.0240508643439732,0.0135212017513894,1.77875197679834,0.0753683137805769,"CAFD Off Grades","*"
"defense_player_20_defensive_grades_grades_defense_12w",-0.0159869723163194,0.00810121273621756,-1.97340482676716,0.0485290053707086,"CAFD Off Grades","**"
"defense_player_4_defensive_grades_grades_defense_12w",-0.0251278909953225,0.0147081999594559,-1.70842734424261,0.0876471063249971,"CAFD Off Yards","*"
"defense_player_17_defensive_grades_grades_defense_12w",0.0244944541250163,0.013590849026106,1.80227549272059,0.0715893975361282,"CAFD Off Yards","*"
"defense_player_20_defensive_grades_grades_defense_12w",-0.0160121015549062,0.00810396454585608,-1.97583558816208,0.0482530281504232,"CAFD Off Yards","**"
"defense_player_4_defensive_grades_grades_defense_12w",-0.0248358623353483,0.0146891300884259,-1.6907646801302,0.0909720310000026,"CAFD Off TDs","*"
"defense_player_15_defensive_grades_grades_defense_12w",-0.0157211142278748,0.00931978752517912,-1.68685328773873,0.0917219191469903,"CAFD Off TDs","*"
"defense_player_17_defensive_grades_grades_defense_12w",0.0270685459942169,0.0133044402746917,2.03454977701751,0.0419724736903291,"CAFD Off TDs","**"
"defense_player_20_defensive_grades_grades_defense_12w",-0.0141223475519132,0.00811897430682426,-1.7394250823091,0.0820491540471815,"CAFD Off TDs","*"
"defense_player_4_defensive_grades_grades_defense_12w",-0.0239373716718783,0.0146576507782171,-1.63309742018496,0.102539470250712,"CAFD Off Specifics","."
"defense_player_15_defensive_grades_grades_defense_12w",-0.0159744266409128,0.00931986974237005,-1.71401823013575,0.0866149150230438,"CAFD Off Specifics","*"
"defense_player_17_defensive_grades_grades_defense_12w",0.0245698009318244,0.013336965391631,1.8422332374981,0.0655265327343824,"CAFD Off Specifics","*"
"defense_player_20_defensive_grades_grades_defense_12w",-0.0153584400483813,0.00797940294985922,-1.92476055475458,0.0543411975460714,"CAFD Off Specifics","*"
"defense_player_4_defensive_grades_grades_defense_12w",-0.026362379258518,0.0146932318169523,-1.79418521309264,0.0728711634317773,"CAFD Off First Downs","*"
"defense_player_17_defensive_grades_grades_defense_12w",0.0239995896536775,0.013558273163391,1.77010666214333,0.0767977031819586,"CAFD Off First Downs","*"
"defense_player_20_defensive_grades_grades_defense_12w",-0.0145891794337999,0.00811545489589455,-1.79770322439723,0.0723114824911268,"CAFD Off First Downs","*"
"defense_player_10_coverage_schemes_man_stops_12w",-0.0192185606568928,0.0101621544568263,-1.89118958371892,0.0586828619650287,"CAFD Def Stops","*"
"defense_player_11_pass_rushing_productivity_stops_12w",0.0166258628939476,0.0110431766319735,1.50553264228433,0.132278868906829,"CAFD Def Stops","."
"defense_player_12_pass_rushing_productivity_stops_12w",0.0221400897885553,0.00948092174425724,2.33522545442018,0.0195887725488677,"CAFD Def Stops","**"
"defense_player_20_coverage_schemes_man_stops_12w",0.0178638335629006,0.00972678952716319,1.83656010166703,0.066360973576324,"CAFD Def Stops","*"
"defense_player_21_run_defense_grades_stops_12w",0.0163134454807095,0.0102691695610335,1.58858468386881,0.112245953317767,"CAFD Def Stops","."
"defense_player_2_defensive_grades_grades_run_defense_12w",0.0297464082522652,0.0198162581450867,1.50111126098953,0.133418165013966,"CAFD Def Grades","."
"defense_player_10_defensive_grades_grades_pass_rush_defense_12w",-0.0277851454214551,0.0166435353692411,-1.66942568420919,0.0951236407428445,"CAFD Def Grades","*"
"defense_player_1_defensive_grades_penalties_12w",-0.0136520526763293,0.0085928438284428,-1.58877002176396,0.1122043548421,"CAFD Def Specifics","."
"defense_player_2_defensive_grades_sacks_12w",-0.0160963146044188,0.0101667589536047,-1.58322968783594,0.113461180311744,"CAFD Def Specifics","."
"defense_player_2_defensive_grades_forced_fumbles_12w",0.013830639816951,0.009299776620481,1.48720129325383,0.137053437551047,"CAFD Def Specifics","."
"defense_player_9_defensive_grades_penalties_12w",-0.0187579280591791,0.00896415714977614,-2.09254788216732,0.0364627424982451,"CAFD Def Specifics","**"
"defense_player_10_defensive_grades_sacks_12w",-0.0193120302959309,0.0105182002996698,-1.83605842689051,0.0664353978922862,"CAFD Def Specifics","*"
"defense_player_10_defensive_grades_interceptions_12w",0.0120316498277094,0.007966555286428,1.5102700471064,0.131066509424003,"CAFD Def Specifics","."
"defense_player_12_defensive_grades_penalties_12w",0.0244785542262089,0.00937803130680118,2.61020180306462,0.00908818237744697,"CAFD Def Specifics","***"
"defense_player_12_defensive_grades_interceptions_12w",-0.0118013066217172,0.00704486204062199,-1.67516504278844,0.0939928744601544,"CAFD Def Specifics","*"
"defense_player_15_defensive_grades_forced_fumbles_12w",0.0183247000526452,0.00831378486369302,2.20413450108273,0.0275809779451936,"CAFD Def Specifics","**"
"defense_player_16_defensive_grades_forced_fumbles_12w",0.0134871822327665,0.00863097789507108,1.56264821862985,0.118227477894863,"CAFD Def Specifics","."
"defense_player_17_defensive_grades_sacks_12w",-0.0125372107169387,0.00788573051869163,-1.58986040509774,0.111958299689971,"CAFD Def Specifics","."
"defense_player_17_defensive_grades_penalties_12w",0.0156978627156057,0.00912957007578078,1.71945256844564,0.0856220827837142,"CAFD Def Specifics","*"
"defense_player_2_run_defense_grades_tackles_12w",0.0168145788165997,0.00874343744768489,1.92310849333655,0.054548334429685,"CAFD Def Tackles","*"
"defense_player_9_coverage_grades_tackles_12w",-0.018417856688349,0.0123520271009339,-1.49107968577534,0.136031654108088,"CAFD Def Tackles","."
"defense_player_11_run_defense_grades_tackles_12w",-0.0246468926693254,0.0148670410471802,-1.65782098745198,0.0974441763783955,"CAFD Def Tackles","*"
"defense_player_22_run_defense_grades_tackles_12w",0.0188310755126898,0.0130726305551337,1.44049626685846,0.149817446535615,"CAFD Def Tackles","."
